open;high;low;close;volume;marketCap;timestamp
3.82193974;3.86014779;3.51884925;3.55112901;23754809.35406422;87002660.640079;"2020-12-04T00:00:00.000Z"
3.61513206;3.67585727;3.50910807;3.59960891;20224611.88451823;88190418.34327628;"2020-12-06T00:00:00.000Z"
3.59966269;3.60988554;3.32559207;3.39212272;16909345.91643837;83107006.5919141;"2020-12-07T00:00:00.000Z"
3.11156672;3.3994763;2.80872399;3.2619686;28583037.39488233;250966258.57822964;"2020-12-09T00:00:00.000Z"
3.26158827;3.34582623;3.0708558;3.15269027;29252855.36014507;242558705.59853622;"2020-12-10T00:00:00.000Z"
3.23265542;3.45185084;3.23100769;3.33423057;24630223.90850146;256525881.30499;"2020-12-12T00:00:00.000Z"
3.33476766;3.41003749;3.29329124;3.33105674;20722254.56557234;256281696.83193043;"2020-12-13T00:00:00.000Z"
3.33036467;3.34217907;3.13635137;3.1403466;27242746.93148973;241609020.2692209;"2020-12-14T00:00:00.000Z"
3.29980167;3.3737996;3.15137985;3.34416193;21054734.12212418;257289971.4994128;"2020-12-16T00:00:00.000Z"
3.3437269;3.37737434;3.17982172;3.20925478;10227873.82498898;246910612.29030398;"2020-12-17T00:00:00.000Z"
3.40537811;3.61032174;3.38022701;3.46961336;19919598.41979202;266941834.8281187;"2020-12-19T00:00:00.000Z"
3.46966286;3.49537785;3.28585381;3.31146868;18750351.36029349;254774648.64417177;"2020-12-20T00:00:00.000Z"
3.0941214;3.12881238;2.92483372;3.08242113;23991867.54638914;237152404.67406237;"2020-12-22T00:00:00.000Z"
3.08242726;3.62008376;2.79621039;2.91632255;50329367.05586588;224373269.45283446;"2020-12-23T00:00:00.000Z"
2.93046542;3.11195906;2.78979871;3.09872279;29820498.43017837;238406606.64256173;"2020-12-24T00:00:00.000Z"
2.95511875;2.98856694;2.85338354;2.91826964;21332105.12686679;224523072.79858658;"2020-12-26T00:00:00.000Z"
2.91826875;3.05076698;2.8480744;2.90616148;24533711.4152736;223591506.2071231;"2020-12-27T00:00:00.000Z"
2.94743676;3.00663335;2.83550604;2.92466554;25386162.20461985;225015154.53073844;"2020-12-29T00:00:00.000Z"
2.92529379;2.93991509;2.83332631;2.92240921;17031663.37572227;224841558.73354176;"2020-12-30T00:00:00.000Z"
2.92204763;3.19090256;2.7888219;3.13560929;18953615.04080886;241244544.96095827;"2020-12-31T00:00:00.000Z"
3.66216375;3.9370071;3.29926303;3.49494033;50081957.5059217;268890417.55983794;"2021-01-02T00:00:00.000Z"
3.49429184;3.82608998;3.39684201;3.47294394;36997984.5428293;267198080.18400827;"2021-01-03T00:00:00.000Z"
3.59067008;4.34322217;3.48549158;4.23741233;69735075.48731633;326014027.0262304;"2021-01-05T00:00:00.000Z"
4.23396922;4.97132392;4.15529829;4.62035724;77632626.84504913;355476680.6525851;"2021-01-06T00:00:00.000Z"
4.47587228;5.81302912;4.05474627;5.79711037;100707263.71146575;446012600.9184342;"2021-01-08T00:00:00.000Z"
5.7667078;7.45908462;5.62101253;7.21853136;162227415.0538996;555372545.998636;"2021-01-09T00:00:00.000Z"
7.21622872;7.50171238;6.19173153;6.58649594;96243971.85835193;506745602.56137604;"2021-01-10T00:00:00.000Z"
6.48761531;8.19862061;6.45798749;7.78269988;157738756.88067654;598778010.9650843;"2021-01-12T00:00:00.000Z"
7.75713729;8.47856866;7.18676231;8.46681532;107370548.28544803;651411838.4074965;"2021-01-13T00:00:00.000Z"
9.27042862;9.85563951;8.633324;9.38001211;123418249.15189573;721670509.8629944;"2021-01-15T00:00:00.000Z"
9.38683586;13.3592401;9.1694727;12.87791808;302897986.0758435;990789094.8703363;"2021-01-16T00:00:00.000Z"
13.17921703;13.83418698;12.68175083;12.70157425;144213431.947172;977221720.2903415;"2021-01-18T00:00:00.000Z"
12.7123593;13.33198797;11.62125967;11.79032094;147387064.32147405;907112573.921226;"2021-01-19T00:00:00.000Z"
11.79147427;12.99858832;11.07971846;12.41156545;143245333.86799076;954909297.2247086;"2021-01-20T00:00:00.000Z"
11.30127654;13.38075313;10.72032685;12.71883601;190313147.9317812;978549789.4519876;"2021-01-22T00:00:00.000Z"
12.70736199;13.47914117;12.56252815;12.87722578;140727865.18041307;990735831.5834637;"2021-01-23T00:00:00.000Z"
12.45966234;12.92879876;12.08139786;12.2240954;89612475.1634253;940485903.5208094;"2021-01-25T00:00:00.000Z"
12.22285353;12.7168646;11.48373967;12.1728899;117575609.14865577;936546303.0327697;"2021-01-26T00:00:00.000Z"
12.17948281;12.22419022;10.83576407;11.18479693;97215394.53739269;860525339.8803284;"2021-01-27T00:00:00.000Z"
12.02298346;12.60681627;11.37697367;11.62169684;146529369.4;894139132.23;"2021-01-29T00:00:00.000Z"
11.61605344;12.62557385;11.31263917;11.98441928;112936218.05;922045928.77;"2021-01-30T00:00:00.000Z"
13.51938278;13.51938278;12.63804117;13.22777041;149280612.03;1017705702.86;"2021-02-01T00:00:00.000Z"
13.23548195;13.67038254;12.80548921;13.51504517;91074992.13;1039807777.16;"2021-02-02T00:00:00.000Z"
14.79927119;15.81354277;13.98280893;15.36817705;180318627.93;1182382287.53;"2021-02-04T00:00:00.000Z"
15.34853162;17.99698886;15.22049739;17.91379881;196730773.6;1378234929.41;"2021-02-05T00:00:00.000Z"
